timestamp,variable,organization,value,ingestion_time
2024-03-21,SPM-01,adasa,2.4144766330718994,2024-03-22
2024-03-21,CHL-01,adasa,2.951689481735229,2024-03-22
2024-03-21,SPM-01,gsinima,0.5562842488288879,2024-03-22
2024-03-21,CHL-01,gsinima,0.373368501663208,2024-03-22
2024-03-20,SPM-01,adasa,2.574192523956299,2024-03-21
2024-03-20,CHL-01,adasa,5.597978115081787,2024-03-21
2024-03-20,SPM-01,gsinima,0.3526908755302429,2024-03-21
2024-03-20,CHL-01,gsinima,0.9819155931472778,2024-03-21
2024-03-19,CHL-01,adasa,7.682173252105714,2024-03-20
2024-03-19,SPM-01,adasa,2.2343065738677974,2024-03-20
2024-03-19,CHL-01,gsinima,0.4654318392276763,2024-03-20
2024-03-19,SPM-01,gsinima,,2024-03-20
2024-03-18,CHL-01,adasa,3.5530376434326167,2024-03-20
2024-03-18,SPM-01,adasa,2.0226945877075195,2024-03-20
2024-03-18,CHL-01,gsinima,0.6586235761642456,2024-03-20
2024-03-18,SPM-01,gsinima,0.3113115429878234,2024-03-20
2024-03-17,SPM-01,adasa,2.101595878601074,2024-03-18
2024-03-17,CHL-01,adasa,11.083523750305176,2024-03-18
2024-03-17,SPM-01,gsinima,0.4033781588077545,2024-03-18
2024-03-17,CHL-01,gsinima,0.314901053905487,2024-03-18
2024-03-16,SPM-01,adasa,2.1327378749847408,2024-03-17
2024-03-16,CHL-01,adasa,2.8920724391937256,2024-03-17
2024-03-16,SPM-01,gsinima,0.4053359627723693,2024-03-17
2024-03-16,CHL-01,gsinima,0.3348342776298522,2024-03-17
2024-03-15,SPM-01,adasa,1.830804467201233,2024-03-16
2024-03-15,CHL-01,adasa,1.5698437690734863,2024-03-16
2024-03-15,SPM-01,gsinima,0.5656080842018127,2024-03-16
2024-03-15,CHL-01,gsinima,0.2912850975990295,2024-03-16
2024-03-14,SPM-01,adasa,1.7663403749465942,2024-03-15
2024-03-14,CHL-01,adasa,3.521495819091797,2024-03-15
2024-03-14,SPM-01,gsinima,0.3502349257469177,2024-03-15
2024-03-14,CHL-01,gsinima,0.4690144658088684,2024-03-15
2024-03-13,SPM-01,adasa,1.5156986713409424,2024-03-14
2024-03-13,CHL-01,adasa,1.7732574939727783,2024-03-14
2024-03-13,SPM-01,gsinima,0.5374370217323303,2024-03-14
2024-03-13,CHL-01,gsinima,0.3106628954410553,2024-03-14
2024-03-12,SPM-01,adasa,1.5997380018234253,2024-03-13
2024-03-12,CHL-01,adasa,1.9569292068481443,2024-03-13
2024-03-12,SPM-01,gsinima,0.3262634575366973,2024-03-13
2024-03-12,CHL-01,gsinima,3.042062282562256,2024-03-13
2024-03-11,CHL-01,adasa,3.9907622337341304,2024-03-12
2024-03-11,SPM-01,adasa,1.9420801401138303,2024-03-12
2024-03-11,CHL-01,gsinima,0.3591655790805816,2024-03-12
2024-03-11,SPM-01,gsinima,0.4685167372226715,2024-03-12
2024-03-10,CHL-01,adasa,1.4701608419418335,2024-03-11
2024-03-10,SPM-01,adasa,1.292269945144653,2024-03-11
2024-03-10,CHL-01,gsinima,0.2854990363121032,2024-03-11
2024-03-10,SPM-01,gsinima,0.4736626744270324,2024-03-11
2024-03-09,CHL-01,adasa,2.7704131603240967,2024-03-11
2024-03-09,CHL-01,adasa,2.7704131603240967,2024-03-11
2024-03-09,SPM-01,adasa,1.0622678995132446,2024-03-11
2024-03-09,SPM-01,adasa,1.0622678995132446,2024-03-11
2024-03-09,CHL-01,gsinima,0.345506727695465,2024-03-11
2024-03-09,CHL-01,gsinima,0.345506727695465,2024-03-11
2024-03-09,SPM-01,gsinima,0.6675065755844116,2024-03-11
2024-03-09,SPM-01,gsinima,0.6675065755844116,2024-03-11
2024-03-08,SPM-01,adasa,1.2263059616088867,2024-03-09
2024-03-08,CHL-01,adasa,3.3903238773345947,2024-03-09
2024-03-08,SPM-01,gsinima,0.6112707257270813,2024-03-09
2024-03-08,CHL-01,gsinima,0.5899578332901001,2024-03-09
2024-03-07,SPM-01,adasa,1.489008545875549,2024-03-08
2024-03-07,CHL-01,adasa,2.925545454025269,2024-03-08
2024-03-07,SPM-01,gsinima,0.5623343586921691,2024-03-08
2024-03-07,CHL-01,gsinima,2.112208366394043,2024-03-08
2024-03-06,SPM-01,adasa,1.9071869850158687,2024-03-07
2024-03-06,CHL-01,adasa,3.5177173614501958,2024-03-07
2024-03-06,SPM-01,gsinima,0.4747554659843444,2024-03-07
2024-03-06,CHL-01,gsinima,3.787351608276367,2024-03-07
2024-03-05,CHL-01,adasa,7.079675674438477,2024-03-06
2024-03-05,SPM-01,adasa,2.266035318374634,2024-03-06
2024-03-05,CHL-01,gsinima,3.441671848297119,2024-03-06
2024-03-05,SPM-01,gsinima,0.4328561425209045,2024-03-06
2024-03-04,CHL-01,adasa,3.650031566619873,2024-03-05
2024-03-04,SPM-01,adasa,2.229689359664917,2024-03-05
2024-03-04,CHL-01,gsinima,2.053617477416992,2024-03-05
2024-03-04,SPM-01,gsinima,0.363312304019928,2024-03-05
2024-03-03,CHL-01,adasa,4.108612537384033,2024-03-04
2024-03-03,SPM-01,adasa,2.022608757019043,2024-03-04
2024-03-03,CHL-01,gsinima,0.5050932168960571,2024-03-04
2024-03-03,SPM-01,gsinima,0.6421179175376892,2024-03-04
2024-03-02,SPM-01,adasa,1.9499706029891968,2024-03-03
2024-03-02,CHL-01,adasa,3.654508352279663,2024-03-03
2024-03-02,SPM-01,gsinima,0.409365177154541,2024-03-03
2024-03-02,CHL-01,gsinima,0.7094992399215698,2024-03-03
2024-03-01,SPM-01,adasa,1.864241361618042,2024-03-02
2024-03-01,CHL-01,adasa,2.4528794288635254,2024-03-02
2024-03-01,SPM-01,gsinima,0.4255321621894836,2024-03-02
2024-03-01,CHL-01,gsinima,0.4068425297737121,2024-03-02
2024-02-29,CHL-01,adasa,4.680467128753662,2024-03-01
2024-02-29,SPM-01,adasa,1.5139442682266235,2024-03-01
2024-02-29,SPM-01,adasa,1.5139442682266235,2024-03-01
2024-02-29,CHL-01,adasa,4.680467128753662,2024-03-01
2024-02-29,CHL-01,gsinima,1.1590945720672607,2024-03-01
2024-02-29,SPM-01,gsinima,0.4722715020179748,2024-03-01
2024-02-29,SPM-01,gsinima,0.4722715020179748,2024-03-01
2024-02-29,CHL-01,gsinima,1.1590945720672607,2024-03-01
2024-02-28,CHL-01,adasa,4.11489486694336,2024-02-29
2024-02-28,SPM-01,adasa,1.737894892692566,2024-02-29
2024-02-28,CHL-01,gsinima,0.4484684467315673,2024-02-29
2024-02-28,SPM-01,gsinima,0.3706653416156768,2024-02-29
2024-02-27,SPM-01,adasa,1.3615736961364746,2024-02-28
2024-02-27,CHL-01,adasa,5.531930446624756,2024-02-28
2024-02-27,SPM-01,gsinima,0.4398262798786163,2024-02-28
2024-02-27,CHL-01,gsinima,0.2937141358852386,2024-02-28
2024-02-26,CHL-01,adasa,1.8100094795227049,2024-02-28
2024-02-26,CHL-01,gsinima,0.3404214084148407,2024-02-28
2024-02-26,SPM-01,adasa,1.6603912115097046,2024-02-27
2024-02-26,CHL-01,adasa,1.8100094795227049,2024-02-27
2024-02-26,SPM-01,gsinima,0.503684401512146,2024-02-27
2024-02-26,CHL-01,gsinima,0.3404214084148407,2024-02-27
2024-02-25,CHL-01,adasa,4.013569355010985,2024-02-26
2024-02-25,SPM-01,adasa,,2024-02-26
2024-02-25,CHL-01,gsinima,4.509390354156494,2024-02-26
2024-02-25,SPM-01,gsinima,,2024-02-26
2024-02-24,CHL-01,adasa,4.01114559173584,2024-02-25
2024-02-24,SPM-01,adasa,1.4085086584091189,2024-02-25
2024-02-24,CHL-01,gsinima,4.747193336486816,2024-02-25
2024-02-24,SPM-01,gsinima,0.5067445039749146,2024-02-25
2024-02-23,CHL-01,adasa,3.595922470092773,2024-02-24
2024-02-23,SPM-01,adasa,1.169292449951172,2024-02-24
2024-02-23,CHL-01,gsinima,4.3133392333984375,2024-02-24
2024-02-23,SPM-01,gsinima,0.4673658311367034,2024-02-24
2024-02-22,SPM-01,adasa,,2024-02-23
2024-02-22,SPM-01,adasa,,2024-02-23
2024-02-22,CHL-01,adasa,,2024-02-23
2024-02-22,CHL-01,adasa,,2024-02-23
2024-02-22,SPM-01,adasa,0.9225955009460448,2024-02-23
2024-02-22,CHL-01,adasa,4.794918060302734,2024-02-23
2024-02-22,SPM-01,gsinima,,2024-02-23
2024-02-22,SPM-01,gsinima,,2024-02-23
2024-02-22,CHL-01,gsinima,,2024-02-23
2024-02-22,CHL-01,gsinima,,2024-02-23
2024-02-22,SPM-01,gsinima,0.3014313876628875,2024-02-23
2024-02-22,CHL-01,gsinima,4.454218864440918,2024-02-23
2024-02-21,CHL-01,adasa,,2024-02-22
2024-02-21,SPM-01,adasa,,2024-02-22
2024-02-21,CHL-01,adasa,1.6897367238998413,2024-02-22
2024-02-21,SPM-01,adasa,0.8337317705154418,2024-02-22
2024-02-21,CHL-01,gsinima,,2024-02-22
2024-02-21,SPM-01,gsinima,,2024-02-22
2024-02-21,CHL-01,gsinima,1.0358741283416748,2024-02-22
2024-02-21,SPM-01,gsinima,1.3462527990341189,2024-02-22
2024-02-20,CHL-01,adasa,2.719451427459717,2024-02-22
2024-02-20,SPM-01,adasa,0.947771430015564,2024-02-22
2024-02-20,CHL-01,gsinima,0.7751563787460327,2024-02-22
2024-02-20,SPM-01,gsinima,0.3199242651462554,2024-02-22
2024-02-20,SPM-01,adasa,,2024-02-21
2024-02-20,CHL-01,adasa,,2024-02-21
2024-02-20,SPM-01,gsinima,,2024-02-21
2024-02-20,CHL-01,gsinima,,2024-02-21
2024-02-19,SPM-01,adasa,0.7921366095542907,2024-02-20
2024-02-19,CHL-01,adasa,3.1189398765563965,2024-02-20
2024-02-19,SPM-01,gsinima,0.2730521261692047,2024-02-20
2024-02-19,CHL-01,gsinima,0.728141188621521,2024-02-20
2024-02-18,CHL-01,adasa,1.0584230422973633,2024-02-19
2024-02-18,SPM-01,adasa,0.394060879945755,2024-02-19
2024-02-18,CHL-01,gsinima,0.3932392001152038,2024-02-19
2024-02-18,SPM-01,gsinima,0.883428692817688,2024-02-19
